7、电视剧《武林外传》中“李大嘴”使从事什么职业的角色？   厨师
8、电影《人再囧途之泰囧》中徐朗的竞争对手高博由哪位著名男演员饰演？   黄渤
9、美国版图横跨整个北美洲，那么美国西临哪个大洋？   太平洋
101、公司企业愿景是什么？        成为员工幸福、行业领先、基业长青、世人尊敬的美好企业。
102、利己则生的下一句是什么？   利他则久
103、经营哲学中大爱似无情的前一句是什么？     “小善”乃大恶
104、经营哲学中率先垂范的前一句是什么？     以身作则
105、经营哲学中遵循原则的前一句是什么？    依照原理
106、经营哲学中勇于挑战的下一句是什么？   垂直攀登
107、经营哲学中今天要比昨天好的下一句是什么？  明天要比今天好
108、经营哲学中要我们怎样的投入工作？  认真、拼命
10、世界上版图面积最大的俄罗斯北濒哪片大洋？   北冰洋
11、源于北方歇后语，“是骡子是马”的下半句是什么？   拉出来溜溜
12、出自老子《道德经》中“道可道”的下一句是？   非常道
13、电脑键盘输入时，按键“V”对应的汉语拼音字母的读音是什么？   ü
14、电脑键盘输入时，按键“R”对应的汉语拼音字母的读音是什么？   r
15、俗话说：“你走你的阳关道”下一句是？   我走我的独木桥
16、《论语·子罕》中“三军可夺帅也”下一句是什么？   匹夫不可夺志也
17、英文单词男他是“he”，女她是哪三个英文字母？   sht
18、英文单词“is”的过去式是哪三个英文字母？   was
19、生活地图的图例中“博士帽”表示的是哪种场所？   大学/高校

1、世界上人口最多的是哪个大洲？   亚洲
2、世界上国家最多的是哪个大洲？   非洲
3、歇后语“外甥打灯笼”的下一句？   照旧（舅）
4、歇后语“热锅上的蚂蚁”的下一句？   急得团团转
5、我们常用“一叶知什么”来比喻通过个别的细微的迹象，可以看到整个形势的发展趋向与结果。   秋
6、人们常说的“三伏天”指的是哪个季节里的一段时间？   夏季
7、《红楼梦》中的“蘅芜苑”是哪位书中主要人物的住所？   薛宝钗
8、名著《水浒传》中，武松在快活林醉打了哪个恶霸？   蒋门神
9、由周迅、桂纶镁、张雨绮主演的喜剧《女人不坏》是哪位香港著名导演的作品？   徐克
10、冯小刚导演的电影《天下无贼》中，王宝强饰演的角色名叫什么？    傻根
11、银的元素符号是哪两个字母？   Ag
12、斯诺克比赛当中，打进一颗黑色的球加多少分？   7分
101、公司企业愿景是什么？        成为员工幸福、行业领先、基业长青、世人尊敬的美好企业。
102、利己则生的下一句是什么？   利他则久
103、经营哲学中大爱似无情的前一句是什么？     “小善”乃大恶
104、经营哲学中率先垂范的前一句是什么？     以身作则
105、经营哲学中遵循原则的前一句是什么？    依照原理
106、经营哲学中勇于挑战的下一句是什么？   垂直攀登
107、经营哲学中今天要比昨天好的下一句是什么？  明天要比今天好
108、经营哲学中要我们怎样的投入工作？  认真、拼命
13、太阳系中哪颗行星的表面温度最高？   金星
14、太阳系中除了金星，还有哪颗行星没有卫星？   水星
15、清朝的哪位皇帝是慈禧太后的儿子？   同治
16、历史上汉朝的“文景之治”中的“文”是指哪个皇帝？   汉文帝
17、儿歌《小螺号》第一句歌词中“小螺号，嘀嘀嘀吹”下一句是什么？   海鸥听了展翅飞
18、儿歌《小燕子》开头歌词“小燕子，穿花衣”的下一句是什么？   年年春天来这里
19、曾执导过电影《孔雀》《最爱》，女星蒋雯丽的老公是我国哪位著名摄影师兼导演？   顾长卫
20、香港影星张家辉凭借哪一部电影获得2009年香港金像奖影帝称号？   《证人》
21、我们常说的“桃李年华”是指的女子多少岁？   二十岁
22、我国现通用的实物火车票票面的颜色分为红色软纸票和什么颜色的磁卡票？   蓝色
23、电视剧《还珠格格》中，紫薇称哪种蔬菜为“红嘴绿鹦哥”？   菠菜
24、“一骑红尘妃子笑”中指的是，唐玄宗让人快马给杨贵妃送来了什么水果？   荔枝
25、意大利哪个城市的时装周与巴黎、纽约齐名？   米兰
26、小仲马《茶花女》的女主角普莱西，是从乡下到达法国哪个城市名利场发生的故事？   巴黎
27、唐代诗人崔颢诗歌《黄鹤楼》中，“黄鹤一去不复返”的下一句是什么？   白云千载空悠悠
28、周敦颐的《爱莲说》中“出淤泥而不染”的下一句是什么？   濯清涟而不妖
29、“才比子建，貌若潘安”中的“子建”是哪位三国时期著名文学家的字？   曹植
30、建安文学的代表“三曹”指的是曹氏父子的曹丕、曹植还有谁？   曹操
31、成龙新片《十二生肖》的同名主题歌是哪位华人偶像男星演唱的？   王力宏
32、冯小刚执导的电影《天下无贼》，插曲《知道不知道》是由哪位台湾女歌手演唱的？   刘若英
33、在用符号表示立方米的时候，我们会在字母“m”的右上角添加哪个数字？   3
34、标准的汉语普通话中，一共有几个声调？   4个
35、中国五大戏曲中的评剧产生于哪个省？   河北省
36、被誉为“百戏之祖”的昆曲发源于现在江苏省的哪个城市？   苏州昆山
37、希腊神话中，居住在“奥利匹斯山”的最高统治神叫什么？   宙斯
